rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0328.jpg,131.2,0.5351,0.6096,0.7143,0.08,11,5,False,False
75,frame_0217.jpg,86.8,0.5348,0.8238,0.1429,0.4,1,1,False,False
76,frame_0123.jpg,49.2,0.5304,0.6333,0.2857,0.64,4,2,False,False
77,frame_0095.jpg,38.0,0.525,0.7288,0.4286,0.16,6,3,False,False
78,frame_0389.jpg,155.6,0.523,0.7409,0.4286,0.12,6,3,False,False
79,frame_0012.jpg,4.8,0.5226,0.388,0.4286,1.0,4,3,False,False
80,frame_0028.jpg,11.2,0.5217,0.472,0.2857,1.0,4,2,False,False
81,frame_0067.jpg,26.8,0.5211,0.4708,0.2857,1.0,6,2,False,False
82,frame_0076.jpg,30.4,0.5199,0.5861,0.1429,0.92,7,1,False,False
83,frame_0231.jpg,92.4,0.5196,0.8038,0.2857,0.16,7,2,False,False
84,frame_0297.jpg,118.8,0.5148,0.5324,0.4286,0.6,5,3,False,False
85,frame_0129.jpg,51.6,0.5137,0.504,0.2857,0.88,5,2,False,False
86,frame_0294.jpg,117.6,0.5137,0.4823,0.4286,0.72,5,3,False,False
87,frame_0068.jpg,27.2,0.5108,0.5358,0.1429,1.0,5,1,False,False
88,frame_0287.jpg,114.8,0.5106,0.4921,0.4286,0.68,6,3,False,False
89,frame_0131.jpg,52.4,0.5099,0.5501,0.1429,0.96,4,1,False,False
90,frame_0303.jpg,121.2,0.508,0.6149,0.4286,0.36,4,3,False,False
91,frame_0322.jpg,128.8,0.508,0.6092,0.5714,0.16,5,4,False,False
92,frame_0194.jpg,77.6,0.5064,0.7293,0.2857,0.28,3,2,False,False
93,frame_0169.jpg,67.6,0.5053,0.5455,0.4286,0.52,7,3,False,False
94,frame_0087.jpg,34.8,0.5051,0.6468,0.2857,0.48,3,2,False,False
95,frame_0229.jpg,91.6,0.5044,0.5482,0.7143,0.08,7,5,False,False
96,frame_0286.jpg,114.4,0.5033,0.4934,0.4286,0.64,6,3,False,False
97,frame_0004.jpg,1.6,0.5023,0.5189,0.1429,1.0,6,1,False,False
98,frame_0296.jpg,118.4,0.5019,0.5764,0.2857,0.64,6,2,False,False
99,frame_0130.jpg,52.0,0.5006,0.5474,0.1429,0.92,4,1,False,False
100,frame_0274.jpg,109.6,0.498,0.6749,0.4286,0.16,6,3,False,False
101,frame_0098.jpg,39.2,0.4973,0.6358,0.5714,0.04,5,4,False,False
102,frame_0327.jpg,130.8,0.4929,0.7127,0.4286,0.04,9,3,False,False
103,frame_0397.jpg,158.8,0.4921,0.7328,0.2857,0.2,6,2,False,False
104,frame_0125.jpg,50.0,0.4914,0.4377,0.4286,0.72,5,3,False,False
105,frame_0118.jpg,47.2,0.4903,0.5475,0.4286,0.44,3,3,False,False
106,frame_0186.jpg,74.4,0.4895,0.7059,0.4286,0.04,10,3,False,False
107,frame_0184.jpg,73.6,0.4862,0.6832,0.4286,0.08,6,3,False,False
108,frame_0126.jpg,50.4,0.486,0.4109,0.4286,0.76,5,3,False,False
109,frame_0177.jpg,70.8,0.4854,0.6336,0.4286,0.2,6,3,False,False
110,frame_0018.jpg,7.2,0.4846,0.4834,0.1429,1.0,4,1,False,False
111,frame_0208.jpg,83.2,0.4821,0.5745,0.1429,0.76,3,1,False,False
112,frame_0299.jpg,119.6,0.48,0.4948,0.4286,0.52,7,3,False,False
113,frame_0382.jpg,152.8,0.4787,0.6683,0.4286,0.08,6,3,False,False
114,frame_0329.jpg,131.6,0.4769,0.6647,0.4286,0.08,9,3,False,False
115,frame_0288.jpg,115.2,0.4752,0.491,0.2857,0.72,5,2,False,False
116,frame_0215.jpg,86.0,0.4688,0.6598,0.1429,0.48,2,1,False,False
117,frame_0275.jpg,110.0,0.4666,0.6817,0.2857,0.2,7,2,False,False
118,frame_0230.jpg,92.0,0.4665,0.6278,0.4286,0.12,9,3,False,False
119,frame_0083.jpg,33.2,0.4659,0.5043,0.2857,0.64,4,2,False,False
120,frame_0026.jpg,10.4,0.4656,0.3597,0.2857,1.0,3,2,False,False
121,frame_0127.jpg,50.8,0.4635,0.4356,0.2857,0.8,7,2,False,False
122,frame_0305.jpg,122.0,0.4627,0.5563,0.4286,0.28,6,3,False,False
123,frame_0081.jpg,32.4,0.4589,0.3726,0.4286,0.72,4,3,False,False
124,frame_0210.jpg,84.0,0.4575,0.4715,0.2857,0.68,4,2,False,False
125,frame_0216.jpg,86.4,0.4575,0.739,0.0,0.44,2,0,False,False
126,frame_0283.jpg,113.2,0.4571,0.449,0.4286,0.52,6,3,False,False
127,frame_0116.jpg,46.4,0.4552,0.5092,0.4286,0.36,7,3,False,False
128,frame_0201.jpg,80.4,0.455,0.5145,0.2857,0.56,4,2,False,False
129,frame_0383.jpg,153.2,0.4544,0.4322,0.7143,0.12,7,5,False,False
130,frame_0279.jpg,111.6,0.4542,0.593,0.2857,0.36,6,2,False,False
131,frame_0298.jpg,119.2,0.4538,0.4265,0.4286,0.56,7,3,False,False
132,frame_0304.jpg,121.6,0.4538,0.6082,0.2857,0.32,7,2,False,False
133,frame_0080.jpg,32.0,0.451,0.4265,0.2857,0.76,4,2,False,False
134,frame_0311.jpg,124.4,0.4504,0.6276,0.4286,0.04,4,3,False,False
135,frame_0374.jpg,149.6,0.4493,0.6472,0.2857,0.2,9,2,False,False
136,frame_0320.jpg,128.0,0.4476,0.5421,0.4286,0.24,7,3,False,False
137,frame_0330.jpg,132.0,0.4458,0.7898,0.1429,0.04,9,1,False,False
138,frame_0377.jpg,150.8,0.4456,0.7574,0.1429,0.12,10,1,False,False
139,frame_0396.jpg,158.4,0.4438,0.6522,0.2857,0.16,6,2,False,False
140,frame_0089.jpg,35.6,0.4418,0.5522,0.2857,0.4,6,2,False,False
141,frame_0017.jpg,6.8,0.4415,0.3972,0.1429,1.0,5,1,False,False
142,frame_0121.jpg,48.4,0.4413,0.4872,0.2857,0.56,4,2,False,False
143,frame_0167.jpg,66.8,0.4411,0.5565,0.1429,0.6,6,1,False,False
144,frame_0317.jpg,126.8,0.4384,0.6254,0.2857,0.2,7,2,False,False
145,frame_0285.jpg,114.0,0.4375,0.6351,0.0,0.6,4,0,False,False
146,frame_0302.jpg,120.8,0.4369,0.6281,0.1429,0.4,6,1,False,False
147,frame_0120.jpg,48.0,0.4356,0.4918,0.2857,0.52,4,2,False,False
148,frame_0388.jpg,155.2,0.4348,0.5484,0.4286,0.16,8,3,False,False
149,frame_0171.jpg,68.4,0.4333,0.4334,0.4286,0.44,5,3,False,False
150,frame_0112.jpg,44.8,0.4328,0.6142,0.2857,0.2,4,2,False,False
151,frame_0179.jpg,71.6,0.4327,0.646,0.2857,0.12,4,2,False,False
152,frame_0295.jpg,118.0,0.428,0.4982,0.1429,0.68,5,1,False,False
153,frame_0094.jpg,37.6,0.4278,0.5185,0.4286,0.2,4,3,False,False
154,frame_0185.jpg,74.0,0.425,0.6466,0.2857,0.08,6,2,False,False
